,Product Name,Price,Rating (out of 5),URL
20,Sapphire 11296-01-20G Radeon Pulse RX 5600 XT 14GBPS 6GB GDDR6 HDMI / Triple DP OC w/ backplate (UEFI) PCIe 4.0 Graphics Card,319.99,4.7,https://www.amazon.com/Sapphire-11296-01-20G-Radeon-backplate-Graphics/dp/B083R25Z94/ref=sr_1_13?dchild=1&keywords=gpu&qid=1604875671&sr=8-13
21,"MSI Computer Video Graphic Cards GeForce GTX 1050 TI GAMING X 4G, 4GB",159.45,4.7,https://www.amazon.com/MSI-GeForce-GTX-1050-TI/dp/B01MA62JSZ/ref=sr_1_14?dchild=1&keywords=gpu&qid=1604875671&sr=8-14
22,Blackmagic Design DeckLink 4K Extreme 12G Capture Card (BMD-BDLKHDEXTR4K12G),895.0,3.4,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A00759202E98SI0KVA59W&url=%2FBlackmagic-Design-DeckLink-Extreme-BMD-BDLKHDEXTR4K12G%2Fdp%2FB00PE6YSQC%2Fref%3Dsr_1_15_sspa%3Fdchild%3D1%26keywords%3Dgpu%26qid%3D1604875671%26sr%3D8-15-spons%26psc%3D1%26smid%3DA2LXBKOLL3J3K6&qualifier=1604875671&id=2803996709582887&widgetName=sp_mtf
23,MSI Gaming Radeon RX 570 256-bit 8GB GDRR5 DirectX 12 VR Ready CFX Graphcis Card (RX 570 ARMOR 8G OC),208.99,4.5,https://www.amazon.com/MSI-RX-570-ARMOR-8G/dp/B076Y93L8F/ref=sr_1_16?dchild=1&keywords=gpu&qid=1604875671&sr=8-16
24,Gigabyte Radeon RX 580 Gaming 8GB Graphic Cards GV-RX580GAMING-8GD REV2.0,199.99,4.6,https://www.amazon.com/Gigabyte-Radeon-Gaming-Graphic-GV-RX580GAMING-8GD/dp/B0842VMKM5/ref=sr_1_17?dchild=1&keywords=gpu&qid=1604875671&sr=8-17
25,"EVGA 06G-P4-2068-KR GeForce RTX 2060 KO Ultra Gaming, 6GB GDDR6, Dual Fans, Metal Backplate",,4.7,https://www.amazon.com/EVGA-06G-P4-2068-KR-GeForce-Gaming-Backplate/dp/B083GGYNQ6/ref=sr_1_18?dchild=1&keywords=gpu&qid=1604875671&sr=8-18
26,MSI Gaming GeForce GTX 1660 128-Bit HDMI/DP 6GB GDRR5 HDCP Support DirectX 12 Dual Fan VR Ready OC Graphics Card (GTX 1660 Gaming X 6G),234.99,4.7,https://www.amazon.com/MSI-GeForce-GTX-1660-6G/dp/B07P9G4QK1/ref=sr_1_19?dchild=1&keywords=gpu&qid=1604875671&sr=8-19
27,"Power Supply 600W Semi Modular 80+ Bronze, GAMEMAX VP-600-M-RGB",69.97,4.6,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A01173263JJFJYDC9Q4RW&url=%2FSupply-Modular-Bronze-GAMEMAX-VP-600-M-RGB%2Fdp%2FB07SH7DHBS%2Fref%3Dsr_1_20_sspa%3Fdchild%3D1%26keywords%3Dgpu%26qid%3D1604875671%26sr%3D8-20-spons%26psc%3D1%26smid%3DA3I4AWSRYPMYF0&qualifier=1604875671&id=2803996709582887&widgetName=sp_btf
28,BTO Gaming NVIDIA GeForce GT 1030 2GB DisplayPort HDMI PCI-E Video Graphics Card Dual Monitor Support for Desktop / Tower (Renewed),79.98,2.0,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A04669253IE5CMFJN976T&url=%2FBTO-GeForce-DisplayPort-Graphics-Monitor%2Fdp%2FB08KJHGWJ2%2Fref%3Dsr_1_21_sspa%3Fdchild%3D1%26keywords%3Dgpu%26qid%3D1604875671%26sr%3D8-21-spons%26psc%3D1&qualifier=1604875671&id=2803996709582887&widgetName=sp_btf
29,BTO NVIDIA GeForce GT 730 4GB VGA/DVI/HDMI PCI-E Video Graphics Card for Tower / Desktop (Renewed),69.96,5.0,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A06700263JO2DFYQ5026L&url=%2FBTO-GeForce-Graphics-Desktop-Renewed%2Fdp%2FB08JCTYYWH%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dgpu%26qid%3D1604875671%26sr%3D8-22-spons%26psc%3D1&qualifier=1604875671&id=2803996709582887&widgetName=sp_btf
30,seeed studio NVIDIA Jetson Nano Developer Kit Single Board Computer for AI Development - B01 Version,119.0,4.8,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A0571810EEFQUM9DQVYV&url=%2FSeeed-Studio-NVIDIA-Jetson-Developer%2Fdp%2FB07SGBHDCZ%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3Dgpu%26qid%3D1604875671%26sr%3D8-17-spons%26psc%3D1&qualifier=1604875681&id=5010905926259066&widgetName=sp_atf_next
31,BTO Gaming NVIDIA GeForce GT 1030 2GB DisplayPort HDMI PCI-E Video Graphics Card Dual Monitor Support for Desktop and Computer Tower Compatible with Dell Hp and Lenovo Pcs up to 6th gen Intel Proc,124.98,,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A084208718WIZE728VN9Q&url=%2FBTO-DisplayPort-Graphics-Computer-Compatible%2Fdp%2FB08KHN9L53%2Fref%3Dsr_1_18_sspa%3Fdchild%3D1%26keywords%3Dgpu%26qid%3D1604875671%26sr%3D8-18-spons%26psc%3D1&qualifier=1604875681&id=5010905926259066&widgetName=sp_atf_next
32,HHCJ6 Dell NVIDIA Tesla K80 24GB GDDR5 PCI-E 3.0 Server GPU Accelerator (Renewed),189.0,4.2,https://www.amazon.com/Dell-Tesla-K80-Accelerator-Refurbished/dp/B07GJ45V3D/ref=sr_1_19?dchild=1&keywords=gpu&qid=1604875671&sr=8-19
